Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Quorum.CoreWF.Core\Quorum.CoreWF.Core.csproj,File,Quorum.CoreWF.Core\XamlIntegration\TextExpressionCompilerHelper.cs,28,12,T:System.CodeDom.Compiler.CodeGeneratorOptions,,,,,"codeDomProvider.GenerateCodeFromType(typeDeclaration, codeWriter, new CodeGeneratorOptions());"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Quorum.CoreWF.Core\Quorum.CoreWF.Core.csproj,File,Quorum.CoreWF.Core\XamlIntegration\TextExpressionCompilerHelper.cs,28,12,M:System.CodeDom.Compiler.CodeGeneratorOptions.#ctor,,,,,"codeDomProvider.GenerateCodeFromType(typeDeclaration, codeWriter, new CodeGeneratorOptions());"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Quorum.CoreWF.Core\Quorum.CoreWF.Core.csproj,File,Quorum.CoreWF.Core\XamlIntegration\TextExpressionCompilerHelper.cs,28,12,"M:System.CodeDom.Compiler.CodeDomProvider.GenerateCodeFromType(System.CodeDom.CodeTypeDeclaration,System.IO.TextWriter,System.CodeDom.Compiler.CodeGeneratorOptions)",,,,,"codeDomProvider.GenerateCodeFromType(typeDeclaration, codeWriter, new CodeGeneratorOptions());"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Quorum.CoreWF.Core\Quorum.CoreWF.Core.csproj,File,Quorum.CoreWF.Core\XamlIntegration\TextExpressionCompilerHelper.cs,26,8,T:System.CodeDom.Compiler.CodeDomProvider,,,,,"using (var codeDomProvider = CodeDomProvider.CreateProvider(language))          {              codeDomProvider.GenerateCodeFromType(typeDeclaration, codeWriter, new CodeGeneratorOptions());          }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Quorum.CoreWF.Core\Quorum.CoreWF.Core.csproj,File,Quorum.CoreWF.Core\XamlIntegration\TextExpressionCompilerHelper.cs,26,8,T:System.CodeDom.Compiler.CodeDomProvider,,,,,"using (var codeDomProvider = CodeDomProvider.CreateProvider(language))          {              codeDomProvider.GenerateCodeFromType(typeDeclaration, codeWriter, new CodeGeneratorOptions());          }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Quorum.CoreWF.Core\Quorum.CoreWF.Core.csproj,File,Quorum.CoreWF.Core\XamlIntegration\TextExpressionCompilerHelper.cs,26,8,M:System.CodeDom.Compiler.CodeDomProvider.CreateProvider(System.String),,,,,"using (var codeDomProvider = CodeDomProvider.CreateProvider(language))          {              codeDomProvider.GenerateCodeFromType(typeDeclaration, codeWriter, new CodeGeneratorOptions());          }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Quorum.CoreWF.Core\Quorum.CoreWF.Core.csproj,File,Quorum.CoreWF.Core\XamlIntegration\TextExpressionCompilerHelper.cs,25,8,T:System.CodeDom.CodeNamespaceCollection,,,,,var typeDeclaration = compilationUnit.Namespaces[0].Types[0];
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Quorum.CoreWF.Core\Quorum.CoreWF.Core.csproj,File,Quorum.CoreWF.Core\XamlIntegration\TextExpressionCompilerHelper.cs,25,8,P:System.CodeDom.CodeCompileUnit.Namespaces,,,,,var typeDeclaration = compilationUnit.Namespaces[0].Types[0];
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Quorum.CoreWF.Core\Quorum.CoreWF.Core.csproj,File,Quorum.CoreWF.Core\XamlIntegration\TextExpressionCompilerHelper.cs,25,8,T:System.CodeDom.CodeNamespace,,,,,var typeDeclaration = compilationUnit.Namespaces[0].Types[0];
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Quorum.CoreWF.Core\Quorum.CoreWF.Core.csproj,File,Quorum.CoreWF.Core\XamlIntegration\TextExpressionCompilerHelper.cs,25,8,P:System.CodeDom.CodeNamespaceCollection.Item(System.Int32),,,,,var typeDeclaration = compilationUnit.Namespaces[0].Types[0];
